Nama,Jenis Kelamin,Umur,Status Menikah,Kehadiran (%),Partisipasi Diskusi (skor),Nilai Tugas (rata-rata),Aktivitas E-Learning (skor),IPK,Status Akademik
Anastasia Pradipta,Perempuan,24,Menikah,61,47,60,98,2.27,Lulus
Salman Mahendra,Perempuan,29,Menikah,88,52,95,90,2.35,Lulus
"Mahfud Narpati, S.Gz",Laki-laki,26,Menikah,46,71,77,97,3.3,Lulus
Bahuwirya Sihotang,Laki-laki,21,Belum Menikah,40,67,45,91,3.84,Lulus
Puti Raisa Mardhiyah,Laki-laki,30,Belum Menikah,45,57,82,94,2.3,Lulus
Hartaka Nugroho,Perempuan,22,Belum Menikah,88,86,92,97,3.87,Lulus
Viktor Wulandari,Laki-laki,26,Belum Menikah,63,85,76,59,3.57,Lulus
Genta Zulkarnain,Perempuan,24,Belum Menikah,50,65,61,72,2.03,Tidak
"Hj. Oliva Wahyudin, M.Farm",Perempuan,30,Menikah,83,90,72,94,2.89,Lulus
"Dr. Gilda Samosir, S.Kom",Perempuan,27,Menikah,88,66,82,66,3.69,Lulus
Parman Mandasari,Laki-laki,24,Menikah,92,44,65,58,3.41,Lulus
"Oni Hutasoit, M.Pd",Perempuan,28,Menikah,48,57,56,70,2.63,Tidak
"Tgk. Fathonah Hidayanto, S.Gz",Perempuan,29,Menikah,70,69,100,89,3.32,Lulus
Ir. Darijan Setiawan,Perempuan,29,Belum Menikah,40,45,48,85,3.26,Tidak
Kiandra Purnawati,Perempuan,23,Menikah,82,43,80,94,2.31,Lulus
Hasna Haryanti,Perempuan,22,Menikah,66,48,44,65,3.4,Lulus
Anastasia Damanik,Perempuan,27,Menikah,49,55,85,53,2.02,Tidak
Kawaya Saragih,Perempuan,20,Menikah,87,51,77,44,2.68,Lulus
Purwanto Puspasari,Perempuan,26,Belum Menikah,94,95,95,57,3.7,Lulus
Tari Mulyani,Perempuan,22,Belum Menikah,71,60,99,48,2.83,Lulus
Yunita Purwanti,Laki-laki,26,Menikah,69,46,71,55,3.11,Lulus
"R. Carla Samosir, M.Farm",Perempuan,27,Menikah,93,87,87,92,2.95,Lulus
Maimunah Thamrin,Laki-laki,25,Belum Menikah,76,92,51,45,3.78,Lulus
Yuliana Siregar,Perempuan,29,Belum Menikah,45,43,70,95,2.14,Lulus
"Jane Nasyiah, M.TI.",Laki-laki,25,Menikah,84,59,74,81,3.23,Lulus
Okta Dongoran,Laki-laki,22,Belum Menikah,63,67,42,87,3.89,Lulus
Enteng Uyainah,Laki-laki,19,Menikah,95,67,69,59,2.21,Lulus
"Cornelia Ardianto, S.Gz",Laki-laki,20,Menikah,48,41,45,64,2.97,Tidak
Sutan Gamblang Usada,Perempuan,29,Belum Menikah,64,70,63,96,2.76,Lulus
Aisyah Nuraini,Laki-laki,29,Belum Menikah,78,53,88,79,3.82,Lulus
"Sutan Panca Gunarto, S.Pd",Laki-laki,21,Menikah,53,84,69,62,3.07,Lulus
Ulva Mardhiyah,Perempuan,27,Menikah,69,86,79,58,2.11,Lulus
Amalia Prayoga,Laki-laki,23,Menikah,96,88,75,81,3.38,Lulus
"Paulin Sudiati, S.Sos",Perempuan,20,Belum Menikah,76,45,42,78,2.56,Lulus
"Kayla Wibowo, S.IP",Perempuan,19,Menikah,82,57,55,56,2.87,Lulus
Rachel Yuliarti,Laki-laki,28,Belum Menikah,59,47,100,52,3.21,Lulus
Raina Prasetya,Perempuan,25,Menikah,56,71,49,66,3.45,Lulus
Vanesa Prasetya,Laki-laki,29,Belum Menikah,58,95,45,51,2.84,Lulus
"Drs. Lasmanto Putra, M.Kom.",Perempuan,24,Menikah,46,88,40,63,3.06,Lulus
Usyi Kurniawan,Laki-laki,29,Menikah,62,50,60,97,3.35,Lulus
Puti Indah Sudiati,Perempuan,21,Menikah,70,88,67,65,2.2,Lulus
"Harjasa Oktaviani, S.Ked",Laki-laki,30,Belum Menikah,68,45,93,62,2.72,Lulus
Nabila Safitri,Laki-laki,22,Belum Menikah,69,46,50,100,3.23,Lulus
"dr. Okto Maheswara, M.TI.",Perempuan,19,Menikah,55,74,73,78,2.28,Lulus
Laras Haryanti,Laki-laki,21,Menikah,42,80,46,46,2.3,Tidak
"R. Pranawa Jailani, M.Farm",Perempuan,26,Belum Menikah,79,73,70,62,2.2,Lulus
Kartika Pranowo,Laki-laki,22,Belum Menikah,63,85,74,52,3.31,Lulus
Faizah Wulandari,Perempuan,30,Menikah,42,43,59,52,3.07,Tidak
Dina Manullang,Laki-laki,21,Menikah,41,44,72,42,3.47,Tidak
Hasim Puspasari,Laki-laki,21,Menikah,89,59,56,85,2.65,Lulus
Hasim Halimah,Perempuan,28,Menikah,45,74,56,61,2.92,Lulus
Diana Mangunsong,Laki-laki,24,Belum Menikah,95,52,40,69,3.21,Lulus
Sarah Puspasari,Perempuan,26,Menikah,46,47,45,95,4,Lulus
"Hendri Adriansyah, S.Sos",Laki-laki,19,Belum Menikah,76,92,73,76,2.39,Lulus
"Puti Salimah Kusmawati, M.TI.",Perempuan,23,Menikah,46,50,47,62,2.15,Tidak
Raditya Yulianti,Laki-laki,25,Belum Menikah,72,65,41,69,3.54,Lulus
"drg. Raden Maryadi, M.Kom.",Perempuan,26,Menikah,91,70,86,59,3.13,Lulus
R. Nardi Hidayanto,Perempuan,19,Belum Menikah,97,69,95,45,2.25,Lulus
Anastasia Prastuti,Perempuan,28,Belum Menikah,42,81,65,65,3.09,Lulus
Nabila Namaga,Laki-laki,30,Belum Menikah,73,42,55,41,2.09,Tidak
Ulva Maheswara,Laki-laki,19,Belum Menikah,47,64,43,52,2.12,Tidak
Taufan Prasetyo,Laki-laki,30,Belum Menikah,94,49,92,47,3.74,Lulus
"Dr. Raharja Haryanti, M.TI.",Perempuan,30,Menikah,71,85,56,69,2.94,Lulus
Widya Nasyiah,Laki-laki,29,Menikah,58,75,65,89,3.63,Lulus
"R. Safina Ramadan, S.E.I",Perempuan,20,Menikah,71,47,100,58,3.5,Lulus
Danuja Halimah,Laki-laki,21,Menikah,85,68,84,87,2.93,Lulus
"Kani Pratiwi, S.Pd",Laki-laki,21,Belum Menikah,80,73,77,76,2.8,Lulus
Bakiono Waluyo,Laki-laki,28,Menikah,84,82,93,53,3.54,Lulus
Mulyanto Namaga,Perempuan,26,Menikah,44,63,48,42,3.36,Tidak
Puti Ophelia Pradipta,Perempuan,29,Belum Menikah,50,84,47,75,2.41,Lulus
Elon Januar,Laki-laki,25,Belum Menikah,56,92,65,64,2.5,Lulus
Nadia Laksita,Laki-laki,21,Belum Menikah,95,60,50,41,3.1,Lulus
T. Daniswara Uyainah,Laki-laki,29,Belum Menikah,49,68,92,96,3.5,Lulus
"Yuliana Palastri, S.H.",Laki-laki,30,Menikah,73,99,68,46,2.46,Lulus
Elma Siregar,Perempuan,28,Menikah,40,40,79,94,3.84,Lulus
Danu Napitupulu,Laki-laki,24,Belum Menikah,44,60,52,90,2.78,Lulus
Harsana Suartini,Perempuan,29,Menikah,49,84,70,91,3.54,Lulus
"Wani Zulaika, M.Farm",Laki-laki,22,Belum Menikah,84,48,87,45,3.6,Lulus
KH. Makuta Hidayanto,Perempuan,27,Belum Menikah,59,97,75,55,2.31,Lulus
R. Gading Wibowo,Laki-laki,21,Belum Menikah,53,46,92,90,3.77,Lulus
"Raina Namaga, S.Farm",Laki-laki,30,Belum Menikah,69,40,82,55,3.53,Lulus
Jefri Permata,Laki-laki,25,Belum Menikah,49,92,67,83,3.29,Lulus
Yunita Tampubolon,Laki-laki,30,Belum Menikah,58,41,91,53,2.76,Lulus
Rafi Wasita,Laki-laki,21,Menikah,81,58,78,60,2.66,Lulus
Hamzah Rahayu,Perempuan,24,Belum Menikah,54,64,58,90,3.42,Lulus
Ciaobella Narpati,Laki-laki,26,Belum Menikah,93,96,86,86,3.73,Lulus
Mala Kurniawan,Perempuan,25,Belum Menikah,97,92,65,51,3.83,Lulus
Anom Samosir,Perempuan,26,Menikah,43,75,74,41,2.34,Tidak
Ella Prasasta,Laki-laki,19,Belum Menikah,81,77,40,91,2.05,Lulus
Mahmud Napitupulu,Laki-laki,28,Belum Menikah,42,99,69,46,2.62,Lulus
Ibrahim Manullang,Laki-laki,21,Belum Menikah,82,75,63,73,3.49,Lulus
R.M. Kamal Pranowo,Perempuan,26,Menikah,62,51,68,58,2.04,Tidak
Nadine Yulianti,Laki-laki,20,Menikah,85,84,61,42,3.26,Lulus
Ir. Mala Pradipta,Laki-laki,26,Menikah,62,66,44,94,3.88,Lulus
Dr. Michelle Mahendra,Laki-laki,21,Belum Menikah,85,71,96,99,2.79,Lulus
"Zamira Sinaga, S.Ked",Perempuan,27,Menikah,76,92,80,79,2.66,Lulus
"Tgk. Agnes Maryadi, M.Ak",Perempuan,19,Belum Menikah,79,64,63,91,3.3,Lulus
Cut Alika Permadi,Laki-laki,22,Menikah,81,83,67,79,3.61,Lulus
Baktiadi Najmudin,Perempuan,27,Belum Menikah,79,79,40,92,3.85,Lulus
Jane Sitompul,Laki-laki,23,Belum Menikah,100,71,74,71,3.45,Lulus
Aris Tarihoran,Laki-laki,30,Menikah,42,87,44,84,2.55,Lulus
Darman Wastuti,Laki-laki,28,Belum Menikah,87,71,97,84,3,Lulus
Kemba Marpaung,Perempuan,24,Menikah,59,64,54,49,2.96,Lulus
Diana Prakasa,Laki-laki,22,Belum Menikah,44,73,57,91,3.26,Lulus
Queen Sinaga,Laki-laki,21,Menikah,96,42,85,96,3.68,Lulus
R.A. Zahra Padmasari,Perempuan,29,Menikah,67,58,80,82,3.79,Lulus
Drs. Wani Utama,Laki-laki,29,Belum Menikah,96,51,96,67,3.49,Lulus
Dr. Artawan Suryono,Laki-laki,26,Belum Menikah,49,49,52,49,3.21,Tidak
Reza Mayasari,Laki-laki,23,Belum Menikah,72,81,66,88,2.93,Lulus
"Drs. Violet Suartini, M.M.",Laki-laki,29,Menikah,54,44,48,58,2.07,Tidak
Salsabila Prasasta,Laki-laki,19,Belum Menikah,92,72,73,82,2.37,Lulus
Bagiya Prastuti,Laki-laki,22,Belum Menikah,43,95,65,74,3.29,Lulus
Tgk. Bella Habibi,Perempuan,26,Menikah,70,85,56,100,2.76,Lulus
Jayeng Agustina,Laki-laki,23,Menikah,65,53,61,99,2.15,Lulus
"Sadina Dongoran, S.Pd",Laki-laki,23,Belum Menikah,72,47,72,95,2.81,Lulus
Drs. Halima Lailasari,Perempuan,23,Belum Menikah,61,47,84,97,2.54,Lulus
"Galak Puspita, S.Pd",Perempuan,20,Menikah,84,94,72,84,3.67,Lulus
Karen Hutapea,Laki-laki,21,Belum Menikah,77,49,52,46,3.87,Lulus
Rafi Hassanah,Laki-laki,19,Belum Menikah,60,91,75,47,3.07,Lulus
Vanya Sihotang,Laki-laki,19,Belum Menikah,84,64,63,51,2.87,Lulus
Jatmiko Adriansyah,Perempuan,20,Menikah,97,91,100,54,3.08,Lulus
Bagya Hasanah,Perempuan,28,Belum Menikah,77,89,78,89,2.35,Lulus
"Kayla Saptono, S.Farm",Perempuan,25,Menikah,61,46,73,98,2.38,Lulus
Shania Setiawan,Perempuan,30,Belum Menikah,89,90,88,78,3.92,Lulus
"T. Danang Saefullah, S.E.",Perempuan,19,Menikah,81,97,93,69,2.1,Lulus
Karen Kusumo,Perempuan,23,Menikah,87,84,67,88,2.54,Lulus
Titi Sitompul,Laki-laki,22,Menikah,89,45,40,83,3.04,Lulus
"Gaman Kusumo, S.E.I",Laki-laki,23,Menikah,43,55,83,55,3.65,Lulus
